,基金代码,基金简称,基金名称,基金类型,基金拼音
0,000001,HXCZHH,华夏成长混合,混合型,HUAXIACHENGZHANGHUNHE
1,000002,HXCZHH,华夏成长混合(后端),混合型,HUAXIACHENGZHANGHUNHE
2,000003,ZHKZZZQA,中海可转债债券A,债券型,ZHONGHAIKEZHUANZHAIZHAIQUANA
3,000004,ZHKZZZQC,中海可转债债券C,债券型,ZHONGHAIKEZHUANZHAIZHAIQUANC
4,000005,JSZQXYDQZQ,嘉实增强信用定期债券,定开债券,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN
5,000006,XBLDLHCZHHA,西部利得量化成长混合A,混合型,XIBULIDELIANGHUACHENGZHANGHUNHEA
6,000008,JSZZ500ETFLJA,嘉实中证500ETF联接A,联接基金,JIASHIZHONGZHENG500ETFLIANJIEA
7,000009,YFDTTLCHBA,易方达天天理财货币A,货币型,YIFANGDATIANTIANLICAIHUOBIA
8,000010,YFDTTLCHBB,易方达天天理财货币B,货币型,YIFANGDATIANTIANLICAIHUOBIB
9,000011,HXDPJXHH,华夏大盘精选混合,混合型,HUAXIADAPANJINGXUANHUNHE
10,000012,HXDPJXHH,华夏大盘精选混合(后端),混合型,HUAXIADAPANJINGXUANHUNHE
11,000013,YFDTTLCHBR,易方达天天理财货币R,货币型,YIFANGDATIANTIANLICAIHUOBIR
12,000014,HXJLZQ,华夏聚利债券,债券型,HUAXIAJULIZHAIQUAN
13,000015,HXCZZQA,华夏纯债债券A,债券型,HUAXIACHUNZHAIZHAIQUANA
14,000016,HXCZZQC,华夏纯债债券C,债券型,HUAXIACHUNZHAIZHAIQUANC
15,000017,CTKCXHH,财通可持续混合,混合型,CAITONGKECHIXUHUNHE
16,000020,JSCCPZTZHH,景顺长城品质投资混合,混合型,JINGSHUNCHANGCHENGPINZHITOUZIHUNHE
17,000021,HXYSZZHH,华夏优势增长混合,混合型,HUAXIAYOUSHIZENGZHANGHUNHE
18,000024,DMSLZQZQA,大摩双利增强债券A,债券型,DAMOSHUANGLIZENGQIANGZHAIQUANA
19,000025,DMSLZQZQC,大摩双利增强债券C,债券型,DAMOSHUANGLIZENGQIANGZHAIQUANC
20,000028,HFAXZQ,华富安鑫债券,债券型,HUAFUANXINZHAIQUAN
21,000029,FGHGCLLHPZHH,富国宏观策略灵活配置混合,混合型,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHE
22,000030,CCHXYXHH,长城核心优选混合,混合型,CHANGCHENGHEXINYOUXUANHUNHE
23,000031,HXFXHH,华夏复兴混合,混合型,HUAXIAFUXINGHUNHE
24,000032,YFDXYZZQA,易方达信用债债券A,债券型,YIFANGDAXINYONGZHAIZHAIQUANA
25,000033,YFDXYZZQC,易方达信用债债券C,债券型,YIFANGDAXINYONGZHAIZHAIQUANC
26,000037,GFJNZQ,广发景宁债券,债券型,GUANGFAJINGNINGZHAIQUAN
27,000039,NYGZZHH,农银高增长混合,混合型,NONGYINGAOZENGZHANGHUNHE
28,000041,HXQQGPQDII,华夏全球股票(QDII),QDII,HUAXIAQUANQIUGUPIAOQDII
29,000042,ZZCTKCXFZ100ZSA,中证财通可持续发展100指数A,股票指数,ZHONGZHENGCAITONGKECHIXUFAZHAN100ZHISHUA
30,000043,JSMGCZGPRMB,嘉实美国成长股票人民币,QDII,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI
31,000044,JSMGCZGPMYXH,嘉实美国成长股票美元现汇,QDII,JIASHIMEIGUOCHENGZHANGGUPIAOMEIYUANXIANHUI
32,000045,GYCYZZQA,工银产业债债券A,债券型,GONGYINCHANYEZHAIZHAIQUANA
33,000046,GYCYZZQB,工银产业债债券B,债券型,GONGYINCHANYEZHAIZHAIQUANB
34,000047,HXSZZQA,华夏双债债券A,债券型,HUAXIASHUANGZHAIZHAIQUANA
35,000048,HXSZZQC,华夏双债债券C,债券型,HUAXIASHUANGZHAIZHAIQUANC
36,000049,ZYBPQQZYDQZZS,中银标普全球资源等权重指数,QDII-指数,ZHONGYINBIAOPUQUANQIUZIYUANDENGQUANZHONGZHISHU
37,000051,HXHS300ETFLJA,华夏沪深300ETF联接A,联接基金,HUAXIAHUSHEN300ETFLIANJIEA
38,000053,PHYCYNDKZQ,鹏华永诚一年定开债券,定开债券,PENGHUAYONGCHENGYINIANDINGKAIZHAIQUAN
39,000054,PHSZZLZQ,鹏华双债增利债券,债券型,PENGHUASHUANGZHAIZENGLIZHAIQUAN
40,000055,GFNSDK100MYXHA,广发纳斯达克100美元现汇A,QDII-指数,GUANGFANASIDAKE100MEIYUANXIANHUIA
41,000056,JXXFSJHH,建信消费升级混合,混合型,JIANXINXIAOFEISHENGJIHUNHE
42,000057,ZYXFZTHH,中银消费主题混合,混合型,ZHONGYINXIAOFEIZHUTIHUNHE
43,000058,GLAATLHPZHH,国联安安泰灵活配置混合,混合型,GUOLIANANANTAILINGHUOPEIZHIHUNHE
44,000059,GLAZZYY100A,国联安中证医药100A,股票指数,GUOLIANANZHONGZHENGYIYAO100A
45,000061,HXSSHH,华夏盛世混合,混合型,HUAXIASHENGSHIHUNHE
46,000063,CSDZXXZTLHPZHH,长盛电子信息主题灵活配置混合,混合型,CHANGSHENGDIANZIXINXIZHUTILINGHUOPEIZHIHUNHE
47,000064,DM18GYDKZ,大摩18个月定开债,定开债券,DAMO18GEYUEDINGKAIZHAI
48,000065,GFJDQDHH,国富焦点驱动混合,混合型,GUOFUJIAODIANQUDONGHUNHE
49,000066,NAHXHH,诺安鸿鑫混合,混合型,NUOANHONGXINHUNHE
50,000067,MSJYZZYXA,民生加银转债优选A,债券型,MINSHENGJIAYINZHUANZHAIYOUXUANA
51,000068,MSJYZZYXC,民生加银转债优选C,债券型,MINSHENGJIAYINZHUANZHAIYOUXUANC
52,000069,GTRYZGDJZQA,国投瑞银中高等级债券A,债券型,GUOTOURUIYINZHONGGAODENGJIZHAIQUANA
53,000070,GTRYZGDJZQC,国投瑞银中高等级债券C,债券型,GUOTOURUIYINZHONGGAODENGJIZHAIQUANC
54,000071,HXHSETFLJA,华夏恒生ETF联接A,QDII-指数,HUAXIAHENGSHENGETFLIANJIEA
55,000072,HAWJHBHH,华安稳健回报混合,混合型,HUAANWENJIANHUIBAOHUNHE
56,000073,STMGCZDLHH,上投摩根成长动力混合,混合型,SHANGTOUMOGENCHENGZHANGDONGLIHUNHE
57,000074,GYXYCZYNDKZA,工银信用纯债一年定开债A,定开债券,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIA
58,000075,HXHSETFLJXH,华夏恒生ETF联接现汇,QDII-指数,HUAXIAHENGSHENGETFLIANJIEXIANHUI
59,000076,HXHSETFLJXC,华夏恒生ETF联接现钞,QDII-指数,HUAXIAHENGSHENGETFLIANJIEXIANCHAO
60,000077,GYXYCZYNDKZC,工银信用纯债一年定开债C,定开债券,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIC
61,000078,GYXYCZLNDKZA,工银信用纯债两年定开债A,定开债券,GONGYINXINYONGCHUNZHAILIANGNIANDINGKAIZHAIA
62,000079,GYXYCZLNDKZC,工银信用纯债两年定开债C,定开债券,GONGYINXINYONGCHUNZHAILIANGNIANDINGKAIZHAIC
63,000080,TZKZZZQZQA,天治可转债增强债券A,债券型,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANA
64,000081,TZKZZZQZQC,天治可转债增强债券C,债券型,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANC
65,000082,JSYJAEFGP,嘉实研究阿尔法股票,股票型,JIASHIYANJIUAERFAGUPIAO
66,000083,HTFXFHYHH,汇添富消费行业混合,混合型,HUITIANFUXIAOFEIHANGYEHUNHE
67,000084,BSAYZQA,博时安盈债券A,债券型,BOSHIANYINGZHAIQUANA
68,000085,BSAYZQC,博时安盈债券C,债券型,BOSHIANYINGZHAIQUANC
69,000086,NFWL1NDKZA,南方稳利1年定开债A,定开债券,NANFANGWENLI1NIANDINGKAIZHAIA
70,000087,JSZZJBGZETFLJA,嘉实中证金边国债ETF联接A,联接基金,JIASHIZHONGZHENGJINBIANGUOZHAIETFLIANJIEA
71,000088,JSZZJBGZETFLJC,嘉实中证金边国债ETF联接C,联接基金,JIASHIZHONGZHENGJINBIANGUOZHAIETFLIANJIEC
72,000089,MSJYGDJXYZC,民生加银高等级信用债C,债券型,MINSHENGJIAYINGAODENGJIXINYONGZHAIC
73,000090,MSJYGDJXYZA,民生加银高等级信用债A,债券型,MINSHENGJIAYINGAODENGJIXINYONGZHAIA
74,000103,GTZGQYJWGSYZ,国泰中国企业境外高收益债,QDII,GUOTAIZHONGGUOQIYEJINGWAIGAOSHOUYIZHAI
75,000104,HCWLWJTLZQA,华宸未来稳健添利债券A,债券型,HUACHENWEILAIWENJIANTIANLIZHAIQUANA
76,000105,JXAXHBZQA,建信安心回报债券A,定开债券,JIANXINANXINHUIBAOZHAIQUANA
77,000106,JXAXHBZQC,建信安心回报债券C,定开债券,JIANXINANXINHUIBAOZHAIQUANC
78,000107,FGWJZQZQAB,富国稳健增强债券A/B,债券型,FUGUOWENJIANZENGQIANGZHAIQUANAB
79,000108,FGWJZQZQAB,富国稳健增强债券A/B(后端),债券型,FUGUOWENJIANZENGQIANGZHAIQUANAB
80,000109,FGWJZQZQC,富国稳健增强债券C,债券型,FUGUOWENJIANZENGQIANGZHAIQUANC
81,000110,JYYAHHA,金鹰元安混合A,混合型,JINYINGYUANANHUNHEA
82,000111,YFDCZ1NDKZA,易方达纯债1年定开债A,定开债券,YIFANGDACHUNZHAI1NIANDINGKAIZHAIA
83,000112,YFDCZ1NDKZC,易方达纯债1年定开债C,定开债券,YIFANGDACHUNZHAI1NIANDINGKAIZHAIC
84,000113,JSRYBDQZQAB,嘉实如意宝定期债券A/B,定开债券,JIASHIRUYIBAODINGQIZHAIQUANAB
85,000114,JSRYBDQZQAB,嘉实如意宝定期债券A/B(后端),定开债券,JIASHIRUYIBAODINGQIZHAIQUANAB
86,000115,JSRYBDQZQC,嘉实如意宝定期债券C,定开债券,JIASHIRUYIBAODINGQIZHAIQUANC
87,000116,JSFYCZDQZQ,嘉实丰益纯债定期债券,定开债券,JIASHIFENGYICHUNZHAIDINGQIZHAIQUAN
88,000117,GFLDPZHH,广发轮动配置混合,混合型,GUANGFALUNDONGPEIZHIHUNHE
89,000118,GFJXZQA,广发聚鑫债券A,债券型,GUANGFAJUXINZHAIQUANA
90,000119,GFJXZQC,广发聚鑫债券C,债券型,GUANGFAJUXINZHAIQUANC
91,000120,ZYMLZGHH,中银美丽中国混合,混合型,ZHONGYINMEILIZHONGGUOHUNHE
92,000121,HXYFHHA,华夏永福混合A,混合型,HUAXIAYONGFUHUNHEA
93,000122,HTFSYZZQA,汇添富实业债债券A,债券型,HUITIANFUSHIYEZHAIZHAIQUANA
94,000123,HTFSYZZQC,汇添富实业债债券C,债券型,HUITIANFUSHIYEZHAIZHAIQUANC
95,000124,HBFWYXHH,华宝服务优选混合,混合型,HUABAOFUWUYOUXUANHUNHE
